input,expected_result
What is 34 + 27?,61
Who is known as the Father of Modern Physics?,Albert Einstein
What is the antonym of 'happy'?,Sad
What is the chemical symbol for water?,H2O
Who was the first President of the United States?,George Washington
What is the capital of France?,Paris
Who wrote 'Romeo and Juliet'?,William Shakespeare
What does CPU stand for?,Central Processing Unit
"If today is September 5, 2023, what will be the date 7 days from now?","September 12, 2023"
What does 'NASA' stand for?,National Aeronautics and Space Administration
